,TransactionDate,ReportedDateTime,Company,Symbol,InsiderRelationship,SharesTraded,AveragePrice,TotalAmount,SharesOwned,Filing
139,2020-12-02Sale,2020-12-046:59 pm,Inari Medical Inc.,NARI,Cooperatieve Gilde Healthcare IV U.A.Gilde Healthcare IV Management B.V.Gilde Healthcare Holding B.V.10% Owner,"95,127",$64.93,"$6,176,347","7,404,008(Indirect)",View
140,2020-12-02Sale,2020-12-047:00 pm,Travere Therapeutics Inc.,TVTX,ASELAGE STEVEDirector,"7,891",$23.43,"$184,849","202,216(Direct)",View
141,2020-12-02Sale,2020-12-047:00 pm,ENSIGN GROUP INC,ENSG,Christensen Christopher R.Chairman,"75,000",$70.64,"$5,298,375","1,180,090(IndirectDirect)",View
142,2020-12-03Sale,2020-12-047:18 pm,Seagen Inc.,SGEN,SIEGALL CLAY BCEO,"21,253",$179.28,"$3,810,144","715,209(Direct)",View
143,2020-12-03Sale,2020-12-047:33 pm,Research Solutions Inc.,RSSS,BRISTOL INVESTMENT FUND LTD10% Owner,"32,747",$2.2952,"$75,161","3,273,931(Direct)",View
144,2020-12-03Sale,2020-12-047:41 pm,RAMBUS INC,RMBS,Seraphin LucCEO,"5,930",$16.32,"$96,769","208,011(Direct)",View
145,2020-12-02Sale,2020-12-047:42 pm,VERACYTE Inc,VCYT,Kennedy Giulia CChief Scientific & Med Officer,"14,015",$56.88,"$797,156","78,312(Direct)",View
146,2020-12-04Sale,2020-12-047:45 pm,Zymeworks Inc.,ZYME,HAUSMAN DIANAChief Medical Officer,"6,032",$55.12,"$332,476","3,718(IndirectDirect)",View
147,2020-12-02Sale,2020-12-048:13 pm,Palantir Technologies Inc.,PLTR,Karp Alexander C.Director,"1,285,123",$22.38,"$28,756,472","6,426,496(Direct)",View
148,2020-12-04Sale,2020-12-048:18 pm,PVH CORP.,PVH,Shaffer Michael ACFOCOO,"29,240",$88.61,"$2,591,025","74,135(IndirectDirect)",View
149,2020-12-04Sale,2020-12-048:19 pm,TERADATA CORP,TDC,Harrington Daniel LChief Services Officer,"11,250",$22.32,"$251,100","229,072(IndirectDirect)",View
150,2020-12-02Sale,2020-12-048:35 pm,SI-BONE Inc.,SIBN,Freund John GordonDirector,"147,886",$23.32,"$3,448,677","1,482,046(Indirect)",View
151,2020-12-02Sale,2020-12-048:49 pm,IONIS PHARMACEUTICALS INC,IONS,Monia Brett PCEO,"21,160",$51.32,"$1,085,931","28,879(Direct)",View
152,2020-12-02Sale,2020-12-048:53 pm,IONIS PHARMACEUTICALS INC,IONS,BENNETT C FRANKChief Scientific Officer,"7,053",$51.32,"$361,960","32,476(Direct)",View
153,2020-12-04Sale,2020-12-048:57 pm,PVH CORP.,PVH,FISCHER MARK DVP,"3,900",$89.9,"$350,610","23,177(IndirectDirect)",View
